No Of Rooms,Arrival date,Departure date,Room night,Adult,Child,F.Child,T.Pax,Room Type,Country,total rate net,Booking date,Travel Agent,arrival_day,arrival_month,arrival_weekday,booking_day_diff,ADR,Occupancy Rate,RevPAR,Occupancy Rate %,arrival_month_year
1,2025-05-30,2025-06-03,4,2,2,1,5,Deluxe GV,Egypt,31719.92,2025-05-07,Agoda.com,30,5,4,23,7929.98,0.59%,46.78454277,0.5899705015,2025-05
1,2025-08-25,2025-09-07,13,2,2,0,4,Deluxe GV,Germany,71833.09,2025-01-18,Agoda.com,25,8,0,219,5525.622308,1.92%,105.9485103,1.91740413,2025-08
1,2025-05-31,2025-06-09,9,1,1,0,2,Deluxe GV,Russia,35597.52,2025-01-10,Agoda.com,31,5,5,141,3955.28,1.33%,52.50371681,1.327433628,2025-05
1,2025-06-24,2025-06-30,6,1,0,0,1,Deluxe GV,Germany,31324.17,2025-04-14,Agoda.com,24,6,1,71,5220.695,0.88%,46.20084071,0.8849557522,2025-06
1,2025-07-28,2025-08-03,6,2,0,0,2,Deluxe GV,Russia,39829.27,2025-04-27,Agoda.com,28,7,0,92,6638.211667,0.88%,58.74523599,0.8849557522,2025-07
1,2025-06-27,2025-07-04,7,2,0,0,2,Deluxe GV,Russia,36010.71,2025-02-14,Agoda.com,27,6,4,133,5144.387143,1.03%,53.11314159,1.032448378,2025-06
1,2025-07-21,2025-07-30,9,2,0,0,2,Deluxe GV,Germany,62762.47,2025-03-16,Agoda.com,21,7,0,127,6973.607778,1.33%,92.57001475,1.327433628,2025-07
1,2025-05-16,2025-05-25,9,2,0,0,2,Deluxe GV,Germany,44604.46,2025-03-12,Agoda.com,16,5,4,65,4956.051111,1.33%,65.78828909,1.327433628,2025-05
1,2025-07-21,2025-07-28,7,3,1,0,4,Deluxe GV,Germany,57353.23,2025-01-24,Agoda.com,21,7,0,178,8193.318571,1.03%,84.59178466,1.032448378,2025-07
1,2025-11-04,2025-11-13,9,4,0,0,4,Deluxe GV,Germany,55148.8,2025-05-08,Agoda.com,4,11,1,180,6127.644444,1.33%,81.34041298,1.327433628,2025-11
1,2025-06-02,2025-06-16,14,1,1,0,2,Deluxe GV,Russia,52689.98,2025-03-08,Agoda.com,2,6,0,86,3763.57,2.06%,77.71383481,2.064896755,2025-06
1,2025-06-02,2025-06-16,14,1,1,0,2,Deluxe GV,Ukraine,52689.98,2025-03-08,Agoda.com,2,6,0,86,3763.57,2.06%,77.71383481,2.064896755,2025-06
